interaction_id,task_type,timestamp,prompt_length,ai_response_length,edit_distance,acceptance,override,time_to_edit,ai_quality
1,reflective,1,120,150,30,1,0,60,4
2,technical,2,85,210,45,1,0,120,3
3,coding,3,40,180,10,1,0,35,5
4,argumentative,4,95,160,70,0,1,200,4
5,creative,5,60,220,25,1,0,90,4
6,analytical,6,110,190,80,0,1,240,5
7,reflective,7,75,140,15,1,0,50,4
8,technical,8,130,250,0,1,0,20,5
9,coding,9,55,170,95,0,1,300,2
10,argumentative,10,100,200,40,1,0,110,3
11,creative,11,45,160,5,1,0,25,5
12,analytical,12,150,240,120,0,1,360,4
13,technical,13,90,180,20,1,0,70,4
14,coding,14,35,150,60,0,1,210,3
15,reflective,15,80,130,10,1,0,45,5
16,argumentative,16,115,210,85,0,1,280,4
17,creative,17,70,190,30,1,0,100,4
18,analytical,18,140,260,50,1,0,150,5
19,technical,19,60,175,110,0,1,320,2
20,coding,20,160,15,1,0,1,4,4
21,reflective,21,95,150,35,1,0,85,3
22,technical,22,88,205,25,1,0,75,4
23,coding,23,42,170,5,1,0,30,5
24,analytical,24,135,230,95,0,1,290,4
25,creative,25,58,210,40,1,0,110,3
26,argumentative,26,102,195,65,0,1,220,5
27,reflective,27,76,145,20,1,0,60,4
28,technical,28,120,240,0,1,0,18,5
29,coding,29,48,165,85,0,1,310,2
30,analytical,30,142,255,55,1,0,160,5
31,creative,31,67,185,15,1,0,55,4
32,argumentative,32,110,215,90,0,1,260,4
33,technical,33,92,175,30,1,0,80,4
34,coding,34,38,155,70,0,1,200,3
35,reflective,35,83,135,10,1,0,40,5
36,analytical,36,148,265,120,0,1,350,4
37,creative,37,72,195,35,1,0,95,4
38,technical,38,61,180,100,0,1,300,2
39,coding,39,54,160,20,1,0,50,4
40,argumentative,40,118,220,60,1,0,140,3
41,reflective,41,99,150,45,1,0,105,3
42,technical,42,85,210,15,1,0,45,5
43,coding,43,44,170,110,0,1,330,2
44,analytical,44,138,245,50,1,0,155,5
45,creative,45,63,200,25,1,0,85,4
46,argumentative,46,108,205,75,0,1,240,4
47,technical,47,95,190,35,1,0,90,4
48,coding,48,41,165,10,1,0,28,5
49,analytical,49,150,275,130,0,1,370,4
50,reflective,50,82,140,18,1,0,58,4
51,technical,51,90,200,20,1,0,70,4
52,coding,52,46,175,8,1,0,32,5
53,analytical,53,140,260,85,0,1,310,4
54,creative,54,65,210,30,1,0,95,4
55,argumentative,55,112,220,75,0,1,250,4
56,reflective,56,78,150,12,1,0,48,5
57,technical,57,125,240,0,1,0,15,5
58,coding,58,50,165,95,0,1,320,2
59,analytical,59,155,280,60,1,0,175,5
60,creative,60,70,195,25,1,0,85,4
61,argumentative,61,118,215,90,0,1,280,3
62,technical,62,85,205,40,1,0,100,3
63,coding,63,42,170,110,0,1,340,2
64,reflective,64,95,145,22,1,0,65,4
65,analytical,65,150,270,120,0,1,360,4
66,creative,66,68,200,18,1,0,55,5
67,technical,67,100,185,30,1,0,85,4
68,coding,68,38,160,60,0,1,210,3
69,argumentative,69,110,225,50,1,0,135,3
70,reflective,70,82,140,15,1,0,52,4
71,technical,71,92,195,35,1,0,95,4
72,coding,72,48,170,10,1,0,30,5
73,analytical,73,160,290,100,0,1,330,4
74,creative,74,60,205,28,1,0,88,4
75,argumentative,75,120,230,80,0,1,270,4
76,technical,76,88,210,5,1,0,22,5
77,coding,77,52,175,70,0,1,240,3
78,reflective,78,98,150,20,1,0,60,4
79,analytical,79,145,265,55,1,0,160,5
